iso3,y0,y1,horizon,gdp_growth,psi,eci
ALB,2004,2014,10,6.317152809123794,1.4154929424430016,-0.3039756176406472
ALB,2005,2015,10,3.7312959127512624,1.685742015904486,-0.2844102757270078
ALB,2006,2016,10,3.0983964555237087,1.365070630559012,-0.4069511013966441
ALB,2007,2017,10,2.0920335337497242,1.0000763785105535,-0.3626716433815654
ALB,2008,2018,10,1.7624239137656519,0.2732627767140926,0.1861876850378985
ALB,2009,2019,10,2.591983609637296,-0.1951571941130403,0.3849303686869727
ALB,2010,2020,10,2.580704673432397,-1.0529489144838782,-0.654092262411037
ALB,2011,2021,10,3.619432540099332,-0.5646707710948312,-0.5459680044672401
ALB,2012,2022,10,4.833357076234037,-0.4494681170771032,-0.5222836432033608
ALB,2013,2023,10,6.626781988341382,-0.2521395736840947,-0.5645035915433196
